iter	Passed	Remaining
0	0	772
1	1	755
2	2	700
3	2	683
4	3	685
5	4	675
6	4	664
7	5	650
8	5	653
9	6	642
10	7	634
11	7	628
12	8	633
13	9	634
14	9	638
15	10	637
16	11	638
17	11	636
18	12	631
19	12	630
20	13	627
21	14	627
22	14	624
23	15	620
24	15	618
25	16	614
26	16	608
27	17	607
28	18	605
29	18	605
30	19	602
31	19	600
32	20	598
33	21	596
34	21	594
35	22	593
36	22	592
37	23	593
38	24	592
39	24	592
40	25	592
41	25	591
42	26	592
43	27	592
44	27	591
45	28	591
46	29	590
47	29	589
48	30	586
49	30	584
50	31	583
51	31	582
52	32	587
53	33	586
54	34	586
55	34	585
56	35	585
57	35	583
58	36	581
59	37	582
60	37	581
61	38	581
62	39	580
63	39	578
64	40	577
65	40	577
66	41	576
67	41	575
68	42	573
69	43	571
70	43	569
71	44	568
72	44	566
73	45	566
74	45	565
75	46	563
76	46	562
77	47	561
78	48	560
79	48	559
80	49	559
81	49	559
82	50	555
83	50	554
84	51	553
85	52	554
86	52	553
87	53	553
88	54	553
89	54	553
90	55	553
91	56	553
92	56	554
93	57	553
94	58	553
95	58	552
96	59	550
97	59	550
98	60	548
99	60	547
100	61	547
101	62	546
102	62	545
103	63	544
104	63	543
105	64	543
106	65	543
107	65	542
108	66	541
109	66	540
110	67	540
111	68	539
112	68	539
113	69	538
114	69	538
115	70	537
116	70	535
117	71	534
118	72	534
119	72	532
120	73	532
121	73	530
122	74	529
123	74	529
124	75	528
125	76	527
126	76	525
127	77	524
128	77	523
129	78	522
130	78	521
131	79	519
132	79	518
133	80	517
134	80	517
135	81	516
136	81	515
137	82	514
138	83	514
139	83	514
140	84	513
141	84	511
142	85	510
143	85	510
144	86	509
145	86	508
146	87	507
147	88	506
148	88	506
149	89	505
150	89	504
151	90	503
152	90	503
153	91	502
154	92	502
155	92	502
156	93	501
157	93	500
158	94	499
159	95	498
160	95	496
161	95	495
162	96	494
163	96	494
164	97	493
165	98	492
166	98	492
167	99	491
168	99	491
169	100	490
170	101	489
171	101	489
172	102	489
173	103	489
174	103	488
175	104	488
176	104	487
177	105	487
178	106	486
179	106	486
180	107	485
181	107	485
182	108	484
183	109	484
184	109	483
185	110	482
186	110	482
187	111	481
188	112	480
189	112	479
190	113	479
191	113	478
192	114	477
193	114	476
194	115	476
195	116	476
196	116	475
197	117	474
198	117	473
199	118	472
200	118	472
201	119	471
202	119	470
203	120	470
204	121	469
205	121	469
206	122	468
207	122	467
208	123	466
209	123	466
210	124	465
211	125	465
212	125	464
213	126	463
214	126	462
215	127	462
216	127	461
217	128	461
218	129	460
219	129	460
220	130	459
221	130	459
222	131	458
223	132	457
224	132	457
225	133	456
226	133	455
227	134	454
228	134	454
229	135	453
230	136	452
231	136	452
232	137	451
233	137	450
234	138	449
235	138	448
236	139	448
237	139	447
238	140	446
239	140	446
240	141	445
241	141	444
242	142	443
243	143	443
244	143	442
245	144	442
246	144	441
247	145	441
248	146	440
249	146	439
250	147	438
251	147	438
252	148	437
253	148	437
254	149	436
255	150	436
256	150	435
257	151	434
258	151	434
259	152	433
260	152	433
261	153	432
262	154	431
263	154	431
264	155	430
265	155	429
266	156	429
267	156	428
268	157	427
269	157	426
270	158	426
271	159	425
272	159	425
273	160	424
274	160	423
275	161	423
276	161	422
277	162	422
278	163	421
279	163	420
280	164	420
281	164	419
282	165	419
283	165	418
284	166	417
285	166	416
286	167	415
287	167	415
288	168	414
289	169	413
290	169	413
291	170	412
292	170	411
293	171	411
294	171	410
295	172	409
296	172	409
297	173	408
298	174	408
299	174	407
300	175	407
301	175	406
302	176	406
303	177	405
304	177	405
305	178	404
306	178	403
307	179	403
308	180	402
309	180	402
310	181	401
311	181	400
312	182	399
313	182	399
314	183	398
315	183	398
316	184	397
317	185	396
318	185	396
319	186	395
320	186	394
321	187	394
322	187	393
323	188	393
324	189	392
325	189	392
326	190	391
327	190	391
328	191	390
329	192	390
330	192	389
331	193	388
332	193	388
333	194	387
334	194	387
335	195	386
336	196	385
337	196	384
338	197	384
339	197	383
340	198	382
341	198	382
342	199	381
343	199	380
344	200	380
345	200	379
346	201	378
347	201	378
348	202	377
349	202	376
350	203	376
351	204	376
352	204	375
353	205	374
354	206	374
355	206	373
356	207	373
357	207	372
358	208	372
359	208	371
360	209	370
361	209	370
362	210	369
363	211	368
364	211	368
365	212	367
366	212	367
367	213	366
368	213	365
369	214	365
370	215	364
371	215	363
372	216	363
373	216	362
374	217	362
375	217	361
376	218	361
377	219	360
378	219	359
379	220	359
380	220	358
381	221	358
382	222	357
383	222	357
384	223	356
